"from","to","weight"
"Cosette","LtGillenormand",1
"MlleGillenormand","Marius",6
"Gillenormand","Marius",12
"Pontmercy","Marius",1
"LtGillenormand","Marius",1
"Cosette","Marius",21
"Valjean","Marius",19
"Tholomyes","Marius",1
"Thenardier","Marius",2
"Eponine","Marius",5
"Gavroche","Marius",4
"Gillenormand","BaronessT",1
"Marius","BaronessT",1
"Marius","Mabeuf",1
"Eponine","Mabeuf",1
"Gavroche","Mabeuf",1
"Marius","Enjolras",7
"Gavroche","Enjolras",7
"Javert","Enjolras",6
"Mabeuf","Enjolras",1
"Valjean","Enjolras",4
"Enjolras","Combeferre",15
"Marius","Combeferre",5
"Gavroche","Combeferre",6
"Mabeuf","Combeferre",2
"Gavroche","Prouvaire",1
"Enjolras","Prouvaire",4
"Combeferre","Prouvaire",2
"Gavroche","Feuilly",2
"Enjolras","Feuilly",6
"Prouvaire","Feuilly",2
"Combeferre","Feuilly",5
"Mabeuf","Feuilly",1
"Marius","Feuilly",1
"Marius","Courfeyrac",9
"Enjolras","Courfeyrac",17
"Combeferre","Courfeyrac",13
"Gavroche","Courfeyrac",7
"Mabeuf","Courfeyrac",2
"Eponine","Courfeyrac",1
"Feuilly","Courfeyrac",6
"Prouvaire","Courfeyrac",3
"Combeferre","Bahorel",5
"Gavroche","Bahorel",5
"Courfeyrac","Bahorel",6
"Mabeuf","Bahorel",2
"Enjolras","Bahorel",4
"Feuilly","Bahorel",3
"Prouvaire","Bahorel",2
"Marius","Bahorel",1
"Marius","Bossuet",5
"Courfeyrac","Bossuet",12
"Gavroche","Bossuet",5
"Bahorel","Bossuet",4
"Enjolras","Bossuet",10
"Feuilly","Bossuet",6
"Prouvaire","Bossuet",2
"Combeferre","Bossuet",9
"Mabeuf","Bossuet",1
"Valjean","Bossuet",1
"Bahorel","Joly",5
"Bossuet","Joly",7
"Gavroche","Joly",3
"Courfeyrac","Joly",5
"Enjolras","Joly",5
"Feuilly","Joly",5
"Prouvaire","Joly",2
"Combeferre","Joly",5
"Mabeuf","Joly",1
"Marius","Joly",2
"Bossuet","Grantaire",3
"Enjolras","Grantaire",3
"Combeferre","Grantaire",1
"Courfeyrac","Grantaire",2
"Joly","Grantaire",2
"Gavroche","Grantaire",1
"Bahorel","Grantaire",1
"Feuilly","Grantaire",1
"Prouvaire","Grantaire",1
"Mabeuf","MotherPlutarch",3
"Thenardier","Gueulemer",5
"Valjean","Gueulemer",1
"MmeThenardier","Gueulemer",1
"Javert","Gueulemer",1
"Gavroche","Gueulemer",1
"Eponine","Gueulemer",1
"Thenardier","Babet",6
"Gueulemer","Babet",6
"Valjean","Babet",1
"MmeThenardier","Babet",1
"Javert","Babet",2
"Gavroche","Babet",1
"Eponine","Babet",1
"Thenardier","Claquesous",4
"Babet","Claquesous",4
"Gueulemer","Claquesous",4
"Valjean","Claquesous",1
"MmeThenardier","Claquesous",1
"Javert","Claquesous",1
"Eponine","Claquesous",1
"Enjolras","Claquesous",1
"Javert","Montparnasse",1
"Babet","Montparnasse",2
"Gueulemer","Montparnasse",2
"Claquesous","Montparnasse",2
"Valjean","Montparnasse",1
"Gavroche","Montparnasse",1
"Eponine","Montparnasse",1
"Thenardier","Montparnasse",1
"Cosette","Toussaint",2
"Javert","Toussaint",1
"Valjean","Toussaint",1
"Gavroche","Child1",2
"Gavroche","Child2",2
"Child1","Child2",3
"Babet","Brujon",3
"Gueulemer","Brujon",3
"Thenardier","Brujon",3
"Gavroche","Brujon",1
"Eponine","Brujon",1
"Claquesous","Brujon",1
"Montparnasse","Brujon",1
"Bossuet","MmeHucheloup",1
"Joly","MmeHucheloup",1
"Grantaire","MmeHucheloup",1
"Bahorel","MmeHucheloup",1
"Courfeyrac","MmeHucheloup",1
"Gavroche","MmeHucheloup",1
"Enjolras","MmeHucheloup",1
