"id","class","gender"
1295,"MP*2","M"
1870,"MP*2","M"
1366,"MP*2","M"
1216,"MP*2","M"
1512,"MP*2","M"
1594,"MP*2","F"
1232,"MP*2","M"
1828,"MP*2","M"
1218,"MP*2","M"
1401,"MP*2","M"
1067,"MP*2","M"
1201,"MP*2","F"
1345,"MP*2","M"
1339,"MP*2","M"
1324,"MP*2","M"
790,"PSI*","M"
917,"PSI*","M"
306,"PSI*","M"
909,"PSI*","M"
977,"PSI*","M"
90,"PSI*","M"
446,"PSI*","M"
893,"PSI*","M"
241,"PSI*","M"
615,"PSI*","M"
424,"PSI*","M"
921,"PSI*","F"
434,"PSI*","F"
246,"PSI*","M"
647,"PSI*","F"
452,"PSI*","M"
491,"PSI*","F"
333,"PSI*","F"
622,"PSI*","M"
769,"PSI*","M"
797,"PSI*","F"
624,"PSI*","M"
959,"PSI*","M"
227,"PSI*","M"
47,"PSI*","F"
32,"PSI*","M"
440,"PSI*","F"
4,"PSI*","M"
960,"PSI*","M"
125,"PSI*","F"
798,"PSI*","M"
920,"PSI*","F"
248,"PSI*","M"
325,"PSI*","M"
388,"PC","F"
882,"PC","M"
311,"PC","M"
87,"PC","F"
9,"PC","M"
743,"PC","M"
79,"PC","F"
210,"PC","F"
48,"PC","M"
413,"PC","M"
791,"PC","M"
492,"PC","M"
601,"PC","F"
480,"PC","M"
232,"PC","F"
285,"PC","F"
706,"PC","F"
134,"PC","F"
15,"PC","M"
21,"PC","M"
92,"PC","M"
71,"PC","M"
468,"PC","F"
45,"PC","F"
998,"PC","M"
751,"PC","M"
200,"PC","M"
488,"PC","M"
826,"PC","M"
242,"PC","F"
253,"PC","M"
120,"PC","F"
172,"PC","F"
448,"PC","M"
322,"PC","M"
453,"PC","M"
496,"PC","M"
211,"PC","F"
80,"PC","F"
845,"PC","F"
89,"PC","M"
450,"PC","F"
771,"PC","M"
194,"PC","M"
131,"PC*","M"
115,"PC*","M"
603,"PC*","M"
214,"PC*","F"
14,"PC*","M"
254,"PC*","M"
843,"PC*","F"
867,"PC*","F"
213,"PC*","F"
533,"PC*","M"
2,"PC*","M"
923,"PC*","M"
343,"PC*","F"
356,"PC*","M"
190,"PC*","M"
765,"PC*","F"
941,"PC*","F"
621,"PC*","M"
390,"PC*","M"
382,"PC*","M"
784,"PC*","F"
276,"PC*","M"
258,"PC*","F"
185,"PC*","M"
548,"PC*","F"
222,"PC*","F"
176,"PC*","F"
335,"PC*","M"
85,"PC*","F"
181,"PC*","M"
269,"PC*","M"
116,"PC*","M"
836,"PC*","F"
786,"PC*","M"
256,"PC*","M"
267,"PC*","M"
938,"PC*","M"
744,"PC*","M"
159,"MP","M"
582,"MP","M"
753,"MP","F"
564,"MP","M"
658,"MP","M"
454,"MP","F"
577,"MP","F"
694,"MP","F"
640,"MP","M"
151,"MP","M"
869,"MP","M"
605,"MP","M"
502,"MP","F"
38,"MP","M"
54,"MP","M"
874,"MP","F"
866,"MP","M"
691,"MP","M"
220,"MP","M"
201,"MP","M"
687,"MP","M"
219,"MP","M"
156,"MP","F"
576,"MP","F"
634,"MP","M"
642,"MP","M"
245,"MP","F"
525,"MP","F"
34,"MP","Unknown"
41,"MP","Unknown"
243,"MP","Unknown"
420,"MP","Unknown"
58,"PC*","Unknown"
209,"PC*","Unknown"
979,"2BIO2","Unknown"
205,"2BIO3","M"
520,"MP","F"
